society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Signature Global City ,96.0,9767.0,2.0,2.0,2.0,1.0,,Under Construction,2, Sector 81 Gurgaon,4.0,0,0,0,0,1075.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009829016074536704
HCBS Sports Ville,29.0,5587.0,2.0,2.0,1.0,4.0,,Relatively New,2, Sohna,13.0,0,0,0,0,519.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051906210846608195
Supertech Araville,135.0,6940.0,3.0,3.0,3.0,4.0,,Relatively New,3, Sector 79 Gurgaon,15.0,0,0,0,0,1945.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.019452449567723344
Godrej,95.0,6859.0,2.0,2.0,3.0,3.0,South-East,Under Construction,2, Sector 33 Gurgaon,20.0,0,0,0,0,,,1385.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013850415512465374
Shree Vardhman Flora,70.0,5384.0,2.0,2.0,3.0,13.0,,New Property,2, Sector 90 Gurgaon,13.0,0,1,0,0,,,1300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01300148588410104
Sobha City,395.0,16859.0,4.0,5.0,3.0,25.0,,Undefined,4, Sector 108 Gurgaon,25.0,0,0,0,0,2300.0,2343.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023429622160270478
Senate Court,90.0,14084.0,1.0,1.0,0.0,0.0,,Undefined,1, Sector 62 Gurgaon,1.0,0,0,0,0,,639.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006390230048281738
Shapoorji Pallonji Joyville Gurugram,105.0,11475.0,2.0,2.0,2.0,0.0,,Under Construction,2, Sector 102 Gurgaon,14.0,0,0,0,0,915.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009150326797385621
Signature Global Orchard Avenue ,,,2.0,2.0,3.0,11.0,East,Under Construction,2, Sector 93 Gurgaon,14.0,0,0,0,0,577.11,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Park Flower Valley,220.00000000000003,10476.0,3.0,3.0,3.0,12.0,North-East,New Property,3, Sector-33 Sohna,13.0,1,0,0,0,,,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.021000381825124096
Smart World Gems,101.0,9156.0,2.0,2.0,2.0,4.0,,Under Construction,2, Sector 89 Gurgaon,4.0,0,1,0,0,1103.0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011031017911751857
Bestech Altura,185.0,8604.0,3.0,4.0,3.0,11.0,North,New Property,3, Sector 79 Gurgaon,22.0,1,0,0,0,,,2150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.021501627150162714
Smart World Gems,86.0,7796.0,2.0,3.0,3.0,4.0,,Under Construction,2, Sector 89 Gurgaon,4.0,0,0,0,0,,,1103.0,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011031298101590559
Emaar Imperial Gardens,185.0,9135.0,3.0,3.0,3.0,0.0,South-West,Relatively New,3, Sector 102 Gurgaon,14.0,1,0,0,0,2025.0,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.020251778872468526
La Vida by Tata Housing,285.0,12855.0,3.0,3.0,3.0,10.0,East,New Property,3, Sector 113 Gurgaon,25.0,1,0,0,0,,,2217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022170361726954493
The Serenas,42.0,7910.0,2.0,2.0,1.0,3.0,,Undefined,2, Sector 36 Gurgaon,3.0,0,0,0,0,531.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005309734513274336
MM Golfestate,615.0,18331.0,3.0,4.0,2.0,20.0,North-East,Undefined,3, Sector 65 Gurgaon,20.0,0,0,0,0,2200.0,3355.0,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03354972451039223
Central Park Resort Belgravia Residences,625.0,24300.0,3.0,5.0,3.0,5.0,South-East,Moderately Old,3, Sector 48 Gurgaon,17.0,1,0,0,0,2880.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0.0257201646090535
Apex builders,42.0,5600.0,2.0,2.0,2.0,4.0,North,Relatively New,2, Sector 37C Gurgaon,12.0,0,0,0,0,750.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075
Godrej Habitat,135.0,12784.0,2.0,2.0,0.0,4.0,North-East,Undefined,2, Sector 3 Gurgaon,4.0,0,0,0,0,912.0,1056.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010560075093867334
Ompee K S Residency,160.0,26936.0,2.0,2.0,2.0,1.0,,Relatively New,2, New Palam Vihar,4.0,0,0,0,0,66.0,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594000594000594
Bhawna CGHS,325.0,10156.0,4.0,4.0,3.0,12.0,,Moderately Old,4, Sector 43 Gurgaon,12.0,0,0,1,0,3000.0,,3200.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,34,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.032000787711697516
Adani Aangan Arcade,45.0,7194.0,2.0,2.0,1.0,8.0,,New Property,2, Sector 88A Gurgaon,12.0,0,0,0,0,625.47,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.006255212677231026
Sare Green Parc,85.0,6538.0,3.0,2.0,2.0,20.0,,Undefined,3, Sector 92 Gurgaon,20.0,0,0,0,0,,1300.0,,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013000917711838483
Shree Vardhman Flora,75.0,5769.0,2.0,2.0,3.0,8.0,North-East,Undefined,2, Sector 90 Gurgaon,8.0,0,0,0,0,1300.0,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013000520020800831
Supertech Hues,82.0,6950.0,2.0,2.0,3.0,21.0,,Under Construction,2, Sector 68 Gurgaon,24.0,0,0,0,0,,,1180.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011798561151079136
Chintels Paradiso,180.0,8866.0,3.0,3.0,2.0,0.0,East,Moderately Old,3, Sector 109 Gurgaon,11.0,1,0,0,0,1785.0,,2030.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020302278366794498
Breez Global Hill View,29.99,5403.0,2.0,2.0,2.0,6.0,North-East,New Property,2, Sohna,19.0,0,0,0,0,555.0,,655.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005550620025911531
ILD Greens,78.0,5714.0,2.0,2.0,3.0,1.0,North,Moderately Old,2, Sector 37C Gurgaon,19.0,0,0,0,0,900.0,1068.1,1365.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.013650682534126707
Ansal Sushant Lok CI,200.0,15151.0,3.0,3.0,2.0,1.0,North,Old Property,3, Sector 43 Gurgaon,3.0,1,0,0,0,1320.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,5,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,1,0.01320044881525972
Ashiana Mulberry,74.0,6200.0,2.0,2.0,3.0,12.0,North-West,New Property,2, Sohna,17.0,0,0,0,0,1210.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011935483870967743
Godrej Meridien,320.0,16000.0,3.0,3.0,3.0,6.0,,Under Construction,3, Sector 106 Gurgaon,24.0,1,0,0,0,2002.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Mapsko Casa Bella,130.0,6378.0,4.0,4.0,3.0,1.0,North,Relatively New,4, Sector 82 Gurgaon,25.0,1,0,0,0,,,1960.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020382565067419253
Pooja Apartment,25.0,3571.0,2.0,2.0,2.0,2.0,East,Relatively New,2, Ashok Vihar Phase 3 Extension,4.0,0,0,0,0,700.0,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.007000840100812098
Signature Global Park,95.0,7846.0,3.0,2.0,3.0,1.0,,Relatively New,3, Sohna,4.0,0,0,0,0,756.6,1210.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012108080550599032
DLF New Town Heights ,199.0,7297.0,4.0,4.0,3.0,9.0,East,Relatively New,4, Sector 90 Gurgaon,29.0,1,0,1,0,2727.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0.027271481430724956
Paras Dews,105.0,7581.0,2.0,2.0,2.0,5.0,West,New Property,2, Sector 106 Gurgaon,8.0,0,0,0,0,1385.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.013850415512465374
Godrej Air,183.0,10005.0,3.0,3.0,3.0,18.0,,Under Construction,3, Sector 85 Gurgaon,32.0,0,0,0,0,1829.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,48,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.018290854572713643
DLF The Primus,225.0,10714.0,3.0,3.0,3.0,29.0,East,Relatively New,3, Sector 82A Gurgaon,31.0,1,0,0,0,2100.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,3,1,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0.021000560014933733
Emaar MGF Emerald Floors Premier,280.0,16969.0,3.0,3.0,3.0,3.0,,Relatively New,3, Sector 65 Gurgaon,5.0,1,1,0,0,1650.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0165006777064058
DLF Regency Park ,160.0,14545.0,2.0,2.0,2.0,3.0,North,Relatively New,2, DLF Phase 4,26.0,0,0,0,0,1100.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011000343760742524
Supertech Araville,83.0,5424.0,2.0,2.0,3.0,5.0,North-East,New Property,2, Sector 79 Gurgaon,18.0,0,1,0,0,1530.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0.0153023598820059
Signature Global Park,83.0,7410.0,3.0,2.0,2.0,1.0,,New Property,3, Sohna,4.0,0,0,0,0,1120.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011201079622132253
Maxworth City Residences,80.0,6400.0,2.0,3.0,2.0,9.0,,New Property,2, Sector 10A Gurgaon,12.0,0,0,0,0,1250.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0125
Deepak Minda,125.0,4715.0,4.0,4.0,3.0,6.0,,Moderately Old,4, Sector 1A IMT Manesar,10.0,0,0,0,0,2651.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.026511134676564158
Shree Shyam residency,23.0,5000.0,1.0,1.0,1.0,2.0,South,Relatively New,1, Block A Surya Vihar,4.0,0,0,0,0,460.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0046
Pivotal Devaan,30.0,6666.0,1.0,1.0,1.0,14.0,,New Property,1, Sector 84 Gurgaon,14.0,0,0,0,0,450.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.004500450045004501
Unitech The Residences,155.0,9872.0,3.0,4.0,1.0,1.0,South,Relatively New,3, Sector 33 Gurgaon,11.0,1,0,0,0,,,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01570097244732577
CHD Avenue ,79.0,6594.0,2.0,2.0,2.0,8.0,South-East,Relatively New,2, Sector 71 Gurgaon,14.0,0,0,0,0,,,1198.0,,,,,,,,,,,,,,,,,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.011980588413709433
"Gokuldham Society, Bahadurgarh",50.0,5555.0,2.0,2.0,2.0,2.0,,Moderately Old,2, Sector-7 Housing Board,2.0,0,0,0,1,750.0,,900.0,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.009000900090009001
Silverglades The Melia,101.0,7000.0,2.0,2.0,3.0,12.0,,Under Construction,2, Sohna,12.0,0,1,0,0,950.0,,1450.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.014428571428571428
